created_at,full_text,sentimen,,,91,8
Fri Jan 12 23:57:43 +0000 2024,@TeddGus @prabowo @gibran_tweet Kalau udah yakin menang gak usah koar-koar mas. Nanti kalau kalah gimana? Malu sendirikan jadinya,,,,,
Fri Jan 12 23:57:23 +0000 2024,Kami mendukung Prabowo dan Gibran dalam upaya mereka untuk memimpin Indonesia menuju kemakmuran. #kodekita08 PilihPrabowoGibran02,positif,,,,
Fri Jan 12 23:56:54 +0000 2024,"Prabowo dan Gibran, teruskan perjuanganmu. #kodekita08 PilihPrabowoGibran02 Kami percaya pada kalian. #kodekita08 PilihPrabowoGibran02",positif,,,,
Fri Jan 12 23:56:51 +0000 2024,@bdjkdkdgnd @gorunbiraz3 @jokowi @prabowo @gibran_tweet @ganjarpranowo @puanmaharani_ri @Putri_Everhart @berlianidris Biar tua tapi paling memiliki prestasi dan track record terbaik,positif,,,,
Fri Jan 12 23:56:17 +0000 2024,@benjimascolo222 @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @Jelli_cent @okkymadasari @03__nakula Prabowo Gibran jangan lupa yaa,,,,,
Fri Jan 12 23:56:06 +0000 2024,Relawan Pragib 2024 Deklarasi Dukung Prabowo-Gibran - detikNews https://t.co/gR7z6UHOq0 #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan,positif,,,,
Fri Jan 12 23:55:42 +0000 2024,@tempodotco Terus lanjutkan pembangunan IKN bersama prabowo Gibran,positif,,,,
Fri Jan 12 23:55:35 +0000 2024,@PartaiSocmed @arbainrambey Foto itu memang g ada hubungan langsung sama @prabowo. Foto itu mengingatkan bejatnya putusan 90 yg membalik proses reformasi yg diraih dengan pengorbanan besar. Dan @gibran_tweet lahir sebagai cawapres lewat putusan bejat itu. #JanganPilihPrabowo #AsalBukan02 #JanganPilihGibran,negatif,,,,
Fri Jan 12 23:55:13 +0000 2024,@tempodotco Makin yakin prabowo gibran bisa membawa perubahan lewat IKB,positif,,,,
Fri Jan 12 23:55:07 +0000 2024,@WaktunyaIDMaju Keren ya kreatif banget jadi mudah di ingat pokoknya Prabowo-Gibran mantap,positif,,,,
Fri Jan 12 23:55:05 +0000 2024,@bdjkdkdgnd @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @akupadi5 @bentangnegeri @Putri_Everhart Masih aja main isu lama mas,,,,,
Fri Jan 12 23:54:47 +0000 2024,@tempodotco IKN lebih berkembang baik bersama Prabowo Gibran,positif,,,,
Fri Jan 12 23:54:36 +0000 2024,Rencana TKN Prabowo-Gibran Laporkan 'Achtung' Bisa Berpengaruh Pada Elektabilitas https://t.co/HVcYu25Tt4,,,,,
Fri Jan 12 23:53:49 +0000 2024,"@OposisiCerdas pendukung 02 tidak playing victim, hanya fokus untuk memenangkan Prabowo Gibran",positif,,,,
Fri Jan 12 23:53:46 +0000 2024,@CNNIndonesia Prabowo gibran memiliki program yang sangat luar biasa lohh memikirkan yang terbaik untuk rakyat Indonesia,positif,,,,
Fri Jan 12 23:53:29 +0000 2024,"@RcyberProj0 @Gerindra @gibran_tweet @prabowo @budimuni98 @handoko2411 @Projo_Pusat @FALDA81 Tambah sering upload survei2 kayak gini, netizen bakal milih yg angkanya sedikit krn biasanya rakyat indonesia pengasih 😄",,,,,
Fri Jan 12 23:53:18 +0000 2024,"@TeddGus @prabowo @gibran_tweet Akan tetapi Prabowo Gibran tidak jumawa, tidak sibuk mengurusi calon lain."" Ketawa guee mah..""",positif,,,,
Fri Jan 12 23:52:15 +0000 2024,"@KompasTV Yaaa wajar lah klu Bu Khofifah menentukan pilihannya, toh dia jga punya nilai plus tersendiri bagi pak Prabowo n Gibran.",positif,,,,
Fri Jan 12 23:52:06 +0000 2024,@tempodotco Prabowo Gibran siap meneruskan pembangunan IKN sampai sukses,positif,,,,
Fri Jan 12 23:52:00 +0000 2024,"@TeddGus @prabowo @gibran_tweet Atur aja Boss, lue kan penguasa …",,,,,
Fri Jan 12 23:51:50 +0000 2024,@tempodotco Tetap optimis menang satu putaran prabowo gibran,positif,,,,
Fri Jan 12 23:51:44 +0000 2024,"@CNNIndonesia Program prabowo gibran pokoknnya yang terbaik di antara program capres yang lain""",positif,,,,
Fri Jan 12 23:51:37 +0000 2024,@tempodotco Dukung terus pembangunan IKN bersama Prabowo Gibran,positif,,,,
Fri Jan 12 23:51:23 +0000 2024,Masa depan Indonesia yang lebih baik ada di tangan Prabowo dan Gibran. #kodekita08 PilihPrabowoGibran02,positif,,,,
Fri Jan 12 23:51:08 +0000 2024,@tempodotco IKN akan terus bertumbuh pesat di bawah kepemimpinan Prabowo Gibran,positif,,,,
Fri Jan 12 23:51:05 +0000 2024,@bdjkdkdgnd @gorunbiraz3 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @fais21804461 @zy_zy_its_me @akupadi5 Bilang sama lembaga surveinya dong,,,,,
Fri Jan 12 23:50:58 +0000 2024,@tempodotco Walapun pembahasan itu kami tetap mendukung prabowo gibran,positif,,,,
Fri Jan 12 23:50:53 +0000 2024,"@TeddGus @prabowo @gibran_tweet Ted, UDAH CAIR ya, Awoawoawoawokkkk 😀, Mas Wowo @prabowo BISA jadi Hat-Trick Kekalahannya 2024 ini saran aja nanti jangan Sujud syukur seperti 2014 &amp  2019 Sangat Memalukan 😀🙏 2014 malahan lembaga survey kasih mas Bowo diatas 60% partai2 BESAR dipihak mas Bowo, TAPI ZOOOKKK 😭",,,,,
Fri Jan 12 23:50:42 +0000 2024,@tempodotco Hanya Prabowo Gibran yang mendukung IKN,positif,,,,
Fri Jan 12 23:50:39 +0000 2024,@CNNIndonesia Visi misi dan gagasan prabowo gibran terbaik untuk kemajuan rakyat Indonesia,positif,,,,
Fri Jan 12 23:49:59 +0000 2024,@bdjkdkdgnd @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @cobeh2022 @Miduk17 @UyokBack Yah ngehalu kasian amat,negatif,,,,
Fri Jan 12 23:49:49 +0000 2024,"@beaebenji93 @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @cobeh2022 @Miduk17 @UyokBack Terserah, tiap orang punya pilihannya masing2",,,,,
Fri Jan 12 23:49:10 +0000 2024,@benjimascolo222 @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @cobeh2022 @Miduk17 @UyokBack Dukungan untuknya terus mengalis luar biasa,positif,,,,
Fri Jan 12 23:49:04 +0000 2024,"@TeddGus @prabowo @gibran_tweet Akan terulang lagi dan polanya persis, saat itu Ahok mulutnya kotor dan saat ini kata-kata tak pantas telah keluar dari mulut Prabowo https://t.co/VLEPd6vUpN",,,,,
Fri Jan 12 23:49:00 +0000 2024,@WaktunyaIDMaju cakeeeep min!! Selalu aja deh tim kampanye Prabowo-Gibran kreatif banget.. bikin pemilu lebih berwarna dan ceria,positif,,,,
Fri Jan 12 23:48:34 +0000 2024,"@beaebenji93 @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @YepryR @ForRezim @Jen_syie Banyak banget loh survei yang bilang Prabowo menang, mungkin dari internal 01 sendiri sudah mensurvei dan yang menang pasti tetap Pak Prabowo",,,,,
Fri Jan 12 23:48:07 +0000 2024,Kami mendukung Prabowo dan Gibran dalam upaya mereka untuk memimpin Indonesia menuju kemakmuran. #kodekita08 PilihPrabowoGibran02,positif,,,,
Fri Jan 12 23:47:56 +0000 2024,"@Andria75777 @Yurissa_Samosir @as_siglie @5t3v3n_P3g3L @hc_poirot @abu_waras @choymarkochoy @CutSarina5 @Malika6027 @ekowboy2 Timbul anyiiiiiiing, dah emosian pembohong pula @andre_rosiade @habiburokhman @Dahnilanzar @prabowo @gibran_tweet @aniesbaswedan @cakimiNOW @ganjarpranowo @mohmahfudmd @AndiSinulingga",,,,,
Fri Jan 12 23:47:46 +0000 2024,@Alie_Fahnoor @MilasariAry @Jul3aRhma3 @dewiteruna @Sorali_lali @NoMeycan @nurasmi69 Alhamdulillah... setelah 01 &amp  03 blunder memberikan nilai kepada @prabowo waktu debat banyak yang bermigrasi ke #PrabowoGibran .. rakyat jijik melihat capres yg hanya bisa menilai orang tapi lupa menilai diri sendiri,,,,,
Fri Jan 12 23:47:22 +0000 2024,@este_dra @AjizGame @TeddGus @prabowo @gibran_tweet Hah? Wkwk,,,,,
Fri Jan 12 23:47:02 +0000 2024,@benjimascolo222 @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @YepryR @ForRezim @Jen_syie Kerenn bang👍,,,,,
Fri Jan 12 23:46:25 +0000 2024,"@Aguskmpot @CakKhum @Fahrihamzah Betul, makanya getol jilat prabowo gibran  Siapa tau dapet posisi  Tapi ntar udah mati matian, tau tau di lepeh hahaha",negatif,,,,
Fri Jan 12 23:46:15 +0000 2024,@bdjkdkdgnd @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @YepryR @ForRezim @Jen_syie Sembarangan amat ngomongnya,,,,,
Fri Jan 12 23:45:30 +0000 2024,@OposisiCerdas Prabowo Gibran makin hari makin semangat dan optimis,positif,,,,
Fri Jan 12 23:45:17 +0000 2024,Makar segera tangkap @jokowi @prabowo @gibran_tweet @kaesangp @ListyoSigitP #DSM https://t.co/2jzCW75rSA,,,,,
Fri Jan 12 23:45:15 +0000 2024,"@TeddGus @prabowo @gibran_tweet Si abang ini tabah banget pendapatnya dibantah dg logika dan data yg masuk akal juga tetap bersih2 calonnya, coba lah bang berfikir seandainya bukan sbg pendukung calon lihat pendapat abang lucu2 sumpah.",,,,,
Fri Jan 12 23:45:06 +0000 2024,@OposisiCerdas Nggak ada lagi yang bisa menandingi kepemimpinan Seperti Prabowo Gibran,positif,,,,
Fri Jan 12 23:44:57 +0000 2024,"@TeddGus @prabowo @gibran_tweet Imitatif, wajah rentanya dimanipulasi graphic AI",,,,,
Fri Jan 12 23:44:47 +0000 2024,@TeddGus @prabowo @gibran_tweet Tenang aja..pak @prabowo   Dengan kami  TIDAK memilihmu itu bentuk bantuan kami mewujudkan keinginanmu... https://t.co/Uh5grcMumh,,,,,
Fri Jan 12 23:44:42 +0000 2024,@OposisiCerdas Prabowo Gibran kan yang layak meneruskan kepemimpinan negara ini,positif,,,,
Fri Jan 12 23:44:35 +0000 2024,"@Hasbil_Lbs @prabowo @gibran_tweet Aku kira para. politisi itu pintar2 ternyata zonk semua buktinya masih mau mendukung keputusan sesat anak haram konstitusi, anda2 MUNAFIK TAK LAYAK JADI PANUTAN APALAGI JADI PEMIMPIN KAMI, KAMI MUAK",negatif,,,,
Fri Jan 12 23:44:25 +0000 2024,@Akangmasku @prabowo @gibran_tweet @Gerindra @PartaiGolkar Memang nya nga netral sebagai Presiden...,,,,,
Fri Jan 12 23:44:19 +0000 2024,@OposisiCerdas Tetap optimis dan semangat untuk Prabowo Gibran,positif,,,,
Fri Jan 12 23:43:29 +0000 2024,"Standar Jawa: Bibit, Bebet, Bobot  Standar Islam : Sidig, Amanah, Tablig, Fatonah  Prabowo Gibran TIDAK STANDAR Blaaaas",,,,,
Fri Jan 12 23:43:25 +0000 2024,@RcyberProj0 @Gerindra @gibran_tweet @prabowo @budimuni98 @handoko2411 @Projo_Pusat @FALDA81 Lebih percaya hasil pemilu dari pada hasil survey.,,,,,
Fri Jan 12 23:43:02 +0000 2024,"@Hasbil_Lbs @prabowo @gibran_tweet Kalo curang pasti bisa satu putaran, kalo netral yakin 02 jungkal tak bisa masuk 2 putaran",negatif,,,,
Fri Jan 12 23:42:42 +0000 2024,"Penculikan atau tidak , aku tetap pilih Anies .Cukup Rekam Jejak Anies menjadi acuan.  TKN Prabowo-Gibran Sebut Ada Potensi Kecurangan dan Digagalkannya Pemilu 2024 https://t.co/ZyS6x3JyWa",,,,,
Fri Jan 12 23:42:22 +0000 2024,@TeddGus @prabowo @gibran_tweet Fakta yg kami alami di lapangan berbeda. Awas rencana jahat ada didepan mata,,,,,
Fri Jan 12 23:41:10 +0000 2024,@gus_muslih @JokoPintar2 @prabowo @gibran_tweet berarti Pki atau komunis aja,,,,,
Fri Jan 12 23:40:37 +0000 2024,@NKRI5758 @RcyberProj0 @Gerindra @gibran_tweet @prabowo @budimuni98 @handoko2411 @Projo_Pusat @FALDA81 @jokowi Emang apa bagusnya program jokowi sampe ngotot hrs dilanjutkan lg,,,,,
Fri Jan 12 23:39:43 +0000 2024,@bdjkdkdgnd @gorunbiraz3 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @WagimanDeep212_ @blantik_pedhet2 @Anak__Ogi Coba survei yang mana?,,,,,
Fri Jan 12 23:39:16 +0000 2024,@benoalatawii @gorunbiraz3 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @WagimanDeep212_ @blantik_pedhet2 @Anak__Ogi Gokill deh pokonya,,,,,
Fri Jan 12 23:39:12 +0000 2024,@TeddGus @prabowo @gibran_tweet Terus Aja,,,,,
Fri Jan 12 23:39:04 +0000 2024,@benjimascolo222 @gorunbiraz3 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @WagimanDeep212_ @blantik_pedhet2 @Anak__Ogi Generasi muda kita sudah satu suara mantap kan,positif,,,,
Fri Jan 12 23:38:22 +0000 2024,@democrazymedia Diyakini elektabilitas Prabowo Gibran masih unggul dari,positif,,,,
Fri Jan 12 23:37:57 +0000 2024,@democrazymedia Mari kita sambut pemilu dengan riang gembira dengan mendukung Prabowo Gibran,positif,,,,
Fri Jan 12 23:37:44 +0000 2024,"@TeddGus @prabowo @gibran_tweet Ah kagak gue pendukung Prabowo dari 2014 sampai 2019 karena emng kagak ada pilihan lagi, skrang ada yg lebih baik ngapain pilih lagi, kalian aja tkn 02 terlalu overconfidence",,,,,
Fri Jan 12 23:37:27 +0000 2024,@tempodotco Semangat terus dukung prabowo gibran sampe RI 1,positif,,,,
Fri Jan 12 23:37:23 +0000 2024,@benjimascolo222 @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @RstmBcl @ShamsiAli2 @Paltiwest Gas pol untuk pak presiden ku,positif,,,,
Fri Jan 12 23:37:20 +0000 2024,"@xquitavee @prabowo @bawaslu_RI Kl prabowo dan Gibran: semua pertanyaan jawabannya hilirisiasi, si rmtante girangnya, mau kentut, tetap prabowo",,,,,
Fri Jan 12 23:37:14 +0000 2024,@siregar_elang @prabowo @gibran_tweet @Dennysiregar7 Ini bkn soal jilat menjilat..ini msalah system demokrasi yg sdh di obrak abrik olh penguasa negri..jln satu2nya hrs bersatu utk menghancurkan @prabowo  @gibran_tweet ..,negatif,,,,
Fri Jan 12 23:37:01 +0000 2024,Piye yo rasane ning panggung terus di #allinprabowogibran #prabowogibran,,,,,
Fri Jan 12 23:36:55 +0000 2024,@benoalatawii @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @RstmBcl @ShamsiAli2 @Paltiwest Kalo liat mas Gibran itu memang luar biasa keren dan semangat nya,positif,,,,
Fri Jan 12 23:36:28 +0000 2024,"@bdjkdkdgnd @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @RstmBcl @ShamsiAli2 @Paltiwest Memang benar, tapi yang paling besar peluangnya Prabowo Gibran",positif,,,,
Fri Jan 12 23:36:17 +0000 2024,@KompasTV ✌🏻 PASTI MENANG ✌🏻 Prabowo Gibran,positif,,,,
Fri Jan 12 23:35:55 +0000 2024,@benjimascolo222 @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @Maudy_Apain @berlianidris @sayajggatau Pemimpin terbaik ya prabowo,positif,,,,
Fri Jan 12 23:35:40 +0000 2024,@benoalatawii @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @Maudy_Apain @berlianidris @sayajggatau Presiden terbaikku😍,,,,,
Fri Jan 12 23:35:34 +0000 2024,@JokoPintar2 @gus_muslih @prabowo @gibran_tweet Eleeeeh taik taik taaiiikkk 😂,,,,,
Fri Jan 12 23:35:26 +0000 2024,@bdjkdkdgnd @griselruiz88 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @Maudy_Apain @berlianidris @sayajggatau Tunggu saja 14 februari nanti ya,,,,,
Fri Jan 12 23:33:39 +0000 2024,"@jalurlangit1999 @kejumanis98 @kegblgnunfaedh @Fahrihamzah @prabowo @gibran_tweet @Gerindra @Partai_Gelora 😂😂😂😂😂 sangat real,, 😂😂",,,,,
Fri Jan 12 23:33:33 +0000 2024,"@kompascom Konsultan 02 jng2 cuma konsulltan nya gibran ya, prabowo spt kurang disiapkan, tampil ke publik sama spt prabowo dulu tanpa konsultan, beda dg gibran yg kemana2 seolah dia yg capres. Khawatir sebentar juga prabowo digilas stlh pelantikan.",,,,,
Fri Jan 12 23:32:16 +0000 2024,@benjimascolo222 @gorunbiraz3 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @Kanjeng2022 @EviDrajat @yeyeskii Gas terus untuk pak presiden,positif,,,,
Fri Jan 12 23:32:02 +0000 2024,@benoalatawii @gorunbiraz3 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @Kanjeng2022 @EviDrajat @yeyeskii Salam ✌ jari untuk Indonesia merdeka,positif,,,,
Fri Jan 12 23:31:55 +0000 2024,"@becaseimbibo @GlowTryz @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @gustavin_baidur @oppahade_ Suara jancuk kali, tidak memilih amin = masuk neraka Rukun iman di tambah ada 7 sekarang tidak memilih anies kafir, anies imam Mahdi, bro wtf wkwkw visi misi ga masuk akal BBM gratis se indo gaji guru 30 juta bangun kota 40 setara jakarta, gausa beli kapal ada sarung slepet gblk",,,,,
Fri Jan 12 23:31:47 +0000 2024,"@WaktunyaIDMaju Emg the best pak prabowo sama mas gibran, positif dan kreatif kampanye nya #GanjarSikatKorupsi #LanjutGANsemuakerja",positif,,,,
Fri Jan 12 23:31:10 +0000 2024,"Paslon 02 udah ber kali² melanggar, kok ga pernah di sanksi ya &gt &gt  @prabowo @gibran_tweet &lt &lt   Apa @bawaslu_RI takut dilaporin kalau memberi sanksi? @habiburokhman @andre_rosiade @Fahrihamzah @kaesangp @grace_nat",,,,,
Fri Jan 12 23:30:00 +0000 2024,"Ariasa Hadibroto Supit Dilantik Jadi Ketua, Ini Susunan Kepengurusan LKI DPP Partai Golkar Hasil Revitalisasi #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/ZArb0OS9O8",,,,,
Fri Jan 12 23:29:56 +0000 2024,@hipohan Mantap ✌🏻 PASTI MENANG ✌🏻 Prabowo Gibran,,,,,
Fri Jan 12 23:28:17 +0000 2024,"@Kanjeng2022 Nguawur poollll. Hasil survei Gibran menyumbang suara 0,8% pada Prabowo, dan Prabowo sangat berterimakasih atas keberhasilan Gibran dlm menyampaikan visi misinya melalui debat cawapres pd 22 Desember lalu. Buzzer2 gofud ini makin kalang kabut saja menghadapi kekalahan",,,,,
Fri Jan 12 23:26:59 +0000 2024,Kawal terus prabowo gibran menang satu putaran,positif,,,,
Fri Jan 12 23:26:35 +0000 2024,2024 prabowo gibran menang satu putaran,positif,,,,
Fri Jan 12 23:26:33 +0000 2024,"@bdjkdkdgnd @gorunbiraz3 @jokowi @prabowo @gibran_tweet @aniesbaswedan @ganjarpranowo @puanmaharani_ri @Kanjeng2022 @EviDrajat @yeyeskii Banyak keluarga yang terjun di politik, trah Mega chan salah satunya",,,,,
Fri Jan 12 23:26:33 +0000 2024,@TeddGus @prabowo @gibran_tweet Haha tukang giring opini terus bekerja keras… başı laah.. Mdh2n masy kita semakin pintar utk tdk terjebak opini2 para influencer bayaran model si banci kaleng ini,,,,,
Fri Jan 12 23:26:14 +0000 2024,@CNNIndonesia maju dan terus semangat Pak Prabowo dukungan Kami selalu untuk Prabowo-Gibran,positif,,,,
Fri Jan 12 23:26:10 +0000 2024,@rachlannashidik Engga ada atribut Prabowo Gibran.   Apakah Demokrat menyesal gabung 02?  Kelompok pemerintah yg hampir ngebegal partainya tp ujung2nya menyerahkan diri ke pembegalanya 😔?,,,,,
Fri Jan 12 23:26:06 +0000 2024,Menang bersama prabowo gibran,positif,,,,
Fri Jan 12 23:25:12 +0000 2024,Siap menangkan prabowo gibran satu putaran https://t.co/riNrXqYLng,positif,,,,
Fri Jan 12 23:25:05 +0000 2024,@benjimascolo222 @griselruiz88 @ganjarpranowo @mohmahfudmd @prabowo @gibran_tweet @jokowi @puanmaharani_ri @aniesbaswedan @ekowboy2 @pakaipeci @yusuf_dumdum Wkwkwk beda kelas emang makannya rakyat paham,,,,,
Fri Jan 12 23:25:04 +0000 2024,Deklarasi generasi milenial ngawi siap kawal menangkan prabowo gibran satu putaran https://t.co/z0nakF4TFx,positif,,,,
Fri Jan 12 23:25:03 +0000 2024,@Hasbil_Lbs @prabowo @gibran_tweet Putra mahkota nggak diajak makan2 di R. Makan...cm duduk2 menunggu di R. Tamu.....😂😂😂 https://t.co/qXr6vhVgI3,,,,,
Fri Jan 12 23:24:23 +0000 2024,@ant_on8 @logikapolitikid Sorry yah bang. Saya pendukung Prabowo Gibran. Tapi jangan mainkan takbir seperti itu dong. Bikin ilfeel aja.,positif,,,,
Fri Jan 12 23:24:09 +0000 2024,@benoalatawii @griselruiz88 @ganjarpranowo @mohmahfudmd @prabowo @gibran_tweet @jokowi @puanmaharani_ri @aniesbaswedan @ekowboy2 @pakaipeci @yusuf_dumdum Kita terus dukung beri semangat untuk @prabowo @gibran_tweet,positif,,,,
Fri Jan 12 23:23:41 +0000 2024,"Dalam setiap jejak langkah Relawan Mas Gibran, terukir jejak kebaikan yang menjadi pilar bagi perubahan positif dalam masyarakat.  #RelawanMasGibran #MasGibranUntukIndonesia #gibranrakabumingraka #prabowogibran #prabowo #gibran https://t.co/y9MmSiwY4R",positif,,,,
Fri Jan 12 23:23:39 +0000 2024,Deklarasi masyarakat ngawi siap kawal prabowo gibran menang satu putaran https://t.co/CCG7JT2ApG,,,,,
Fri Jan 12 23:23:35 +0000 2024,"Prabowo dan Gibran, kami mendukung kalian dalam upaya untuk memajukan Indonesia. #kodekita08 PilihPrabowoGibran02",positif,,,,
Fri Jan 12 23:23:28 +0000 2024,@bdjkdkdgnd @griselruiz88 @ganjarpranowo @mohmahfudmd @prabowo @gibran_tweet @jokowi @puanmaharani_ri @aniesbaswedan @ekowboy2 @pakaipeci @yusuf_dumdum Kata siapa survei bisa dipesan? Jangan2 selama ini 03 pakai survei pesanan?,,,,,
Fri Jan 12 23:23:15 +0000 2024,"Percayalah pada Prabowo dan Gibran, mereka adalah pemimpin yang memahami tantangan bangsa ini. #kodekita08 PilihPrabowoGibran02",positif,,,,
Fri Jan 12 23:23:06 +0000 2024,@dekade_08 Prabowo Gibran Mantap✌️ Yang iri dengki para penghianat nyebur kelaut aja jadi umpan ikan hiu🤣🤣🤣,,,,,
Fri Jan 12 23:22:36 +0000 2024,Ini 3 Nama Calon Ketua Tim Sukses Pemenangan Prabowo-Gibran di PBD - Korericom - Berita Indonesia Timur - Koreri https://t.co/YoEXw4iFWE #IndonesiaKuatIndonesiaMaju #DiplomasiProgresif02 #02Melanjutkan,,,,,
Fri Jan 12 23:22:36 +0000 2024,Ini 3 Nama Calon Ketua Tim Sukses Pemenangan Prabowo-Gibran di PBD - Korericom - Berita Indonesia Timur - Koreri https://t.co/Eea1ve8P5p #MenangSeputaran,,,,,
Fri Jan 12 23:22:36 +0000 2024,Ini 3 Nama Calon Ketua Tim Sukses Pemenangan Prabowo-Gibran di PBD - Korericom - Berita Indonesia Timur - Koreri https://t.co/tInX4L4OwT #MenangSeputaran,,,,,
Fri Jan 12 23:22:31 +0000 2024,"Saat Relawan Mas Gibran membawa sembako, mereka membawa juga pesan bahwa kita semua adalah bagian dari satu keluarga besar yang peduli.  #RelawanMasGibran #MasGibranUntukIndonesia #gibranrakabumingraka #prabowogibran #prabowo #gibran https://t.co/uTRt2WoaGX",positif,,,,
Fri Jan 12 23:22:03 +0000 2024,"@AbanggSayur Bicara seperti ini butuh kecerdasan. Prabowo, gibran atau jokowi sekalipun tidak akan bisa..",,,,,
Fri Jan 12 23:21:51 +0000 2024,"Dengan penuh semangat, Relawan Mas Gibran terus menyalakan api kebaikan melalui setiap paket sembako yang disebarkan.  #RelawanMasGibran #MasGibranUntukIndonesia #gibranrakabumingraka #prabowogibran #prabowo #gibran https://t.co/ISlvsQENrE",positif,,,,
Fri Jan 12 23:21:43 +0000 2024,"@kompascom Harusnya gibran ngomong begitu ke prabowo, bukan ke publik",,,,,
Fri Jan 12 23:21:31 +0000 2024,@gibran_tweet @prabowo sangat komprehensif dan spesifik,,,,,
Fri Jan 12 23:21:21 +0000 2024,@RcyberProj0 @Gerindra @gibran_tweet @prabowo @budimuni98 @handoko2411 @Projo_Pusat @FALDA81 Y jelas menang yang bayar lah,,,,,
