full_text,sentimen
"@Trending_Issue Bisanya cuma monolog, cengengesan, emosi, bentak2. Cocoknya jadi debat collector. Presiden 2024 pilih Ganjar-Mahfud.",negatif
"Ganjar Beri Nilai 5 Penegakan Hukum Jokowi, Gerindra Sindir Mahfud MD - https://t.co/s4sNrgpauf https://t.co/B0fwsR4LWe #Prabowo #BangkitBersama",negatif
Elektabilitas Ganjar-Mahfud Merosot Jelang Pilpres 2024 https://t.co/aiHktun25g,negatif
"@Paltiwest Kalo memang seperti itu, kenapa ya Neokadrun takut sekali pada Prabowo-Gibran? Kenapa kakak pembina banteng gendut masih memberi arahan utk terus menyerang pasangan ini? Kenapa tidak fokus mem-blow up hal positif ttg Ganjar-Mahfud?  #NeokadrunTakutBocil",negatif
"Ketika spanduk, banner &amp  baliho Ganjar-Mahfud dan PDIP dicabutin koq polisi picek n kicep  Napah ketika ada yg nyabutin spanduk 2 bocil karbitan polisi langsung bertindak 🙄  Mengharapkan netralitas alat² negara di pilpres 2024 sekarang ini rasanya tuh asuuuuu banged 😠 https://t.co/qF6beJQidf",negatif
"Validitas Survei LSI Denny JA Prabowo-Gibran, Ganjar-Mahfud, dan AMIN Sangat Diragukan https://t.co/cVmC9N2awY",negatif
Faktanya CUPU sok SUHU..  #anakpresiden #GanjarMahfud2024 #GanjarMahfud #genz #indonesia #pastiganjar #catatandemokrasi #paktelur #gibran #kaesang https://t.co/otsBcHhWmL,negatif
@cagubnyinyir2 @BoyMantouw @mas_alku @wonggendheng00 @iwan_irawani @AgungWi86206859 @maximilan_angel @Ganjar_Mahfud_3 @Bambangc5563 @David68159347 @bengkeldodo @singolodra1945 @DjogdjaKembali Terpaksa kayanya. Harus nurut sama emak.,negatif
@Andi54582715 @Omnya_Gibran @jokowi Memang Klo pengkianat itu sekali melakukan untuk selamax tetsp begitu krn gsk tau diri gak tau terima kasih gak tau balas budiakax ayo sama2 kita hukum mereka dg cara gak usah dipilih dan pilih ganjar mahfud supaya diadili yg seadil adilx,negatif
Jelaskan Jangan Membodohi Rakyat dan Pengamat yg masih Lugu... . . Fokus aje Ganjar Mahfud yg melorot dibawah Yohanies 😜😜,negatif
@xquitavee GanjarMahfud terbaik. Tidak nyulik Tidak kangkangi MK Tidak disetir Ibu Hormat pada Kiai Tidak emosian Darah stabil Tidak awokwowkwk Tidak lari dari debat gagasan Tidak pencitraan demi sembunyikan kesadisan,negatif
