full_text,sentimen
pimpin baik,positif
gas terus presiden,positif
salam jari indonesia merdeka,positif
emg the best sama mas positif kreatif kampanye nya,positif
kawal terus menang satu putar,positif
2024 menang satu putar,positif
maju terus semangat dukung selalu,positif
menang sama,positif
siap menang satu putar,positif
deklarasi generasi milenial ngawi siap kawal menang satu putar,positif
sorry yah bang dukung jangan main takbir itu dong bikin ilfeel aja,positif
terus dukung beri semangat,positif
tiap jejak langkah rawan mas ukir jejak baik jadi pilar ubah positif masayaarakat,positif
dukung kalian upaya maju indonesia pilih02,positif
percaya adalah pimpin paham tantang bangsa pilih02,positif
rawan mas bawa sembako bawa pesan kita semua bagi satu keluarga besar peduli,positif
penuh semangat rawan mas terus nyala api baik lalu et sembako sebar,positif
rawan mas ajak untuk saling kuat lalu giat bagi sembako gugah baik hati individu,positif
sama pimpin indonesia tuju jaya pilih02 dukung,positif
tiap distribusi sembako rawan mas bukti giat kecil milik dam besar sari hidup sama,positif
pucuk pimpin masa depan indonesia makin cerah pilih02,positif
minus faktor anak haram konstitusi minus faktor warga eneg ama kalah dlm 2 putaransemoga,negatif
momen bagi sembako sama rawan mas ajar hidup arti sejati kasih sa peduli,positif
dukung tiap langkah pilih02,positif
bersamasama bangun indonesia lebih baik pilih02 selalu dukung pilih02,positif
pucuk pimpin indonesia lebih maju sejahtera pilih02,positif
sama yakin indonesia lebih maju kembang,positif
indonesia butuh pimpin visioner kompeten pilih02 and dukung pilih02,positif
semangat jalan pimpin pilih02,positif
masa depan cerah indonesia di tangan pilih02 terus juang,positif
yakin bawa indonesia masa depan lebih cerah pilih02,positif
yakin and bawa indonesia tingkat lebih tinggi pilih02 moga hasil,positif
and terus juang baik indonesia pilih02 moga hasil,positif
baliho dandim sama hal biasa ada kerja sama penting masayaarakat,positif
indonesia butuh pimpin kuat komitmen pilih02 jawab pilih02,positif
yakin and bawa ubah positif pimpin indonesia pilih02,positif
naik anies buat rakyat jadi lebih yakin diri untuk,positif
milik visi kuat maju negara pilih02 kita dukung sepenuh hati pilih02,positif
apa kalian kata akan tetap pilih paslon 02,positif
indonesia butuh pimpin visioner pilih02,positif
sekian lama akhir jadi presiden,positif
moga bawa ubah positif maju negara pilih02,positif
juga jelas knp kalah lagikrn memang tak pantas jd presiden teman partai skrg jd munafik semua,negatif
pasti pilih the next presiden indonesia,positif
indonesia lompat jauh yok pilih,positif
pilpres memang 1 putar menang,positif
aku pilih,positif
tuju indonesia emas kalo ga suka jgn mencret2,positif
boy semua punya peluang menang 1 putar,positif
bersamasama bangun indonesia lebih baik pilih02 dukung kalian,positif
kondisi emosional nyaris tak punya power indonesia hancur bila 02 menang komunikasi dg rakyat mandek ps dengar elit anak buah cenderung abs krn takut tamperamen ps emosional keri indonesia,negatif
all out menang 2024,positif
saat hijrah 02 baperan,negatif
aq kaloo gak pilih subianto mas bisaa stres gilaa lo,negatif
emang kok subianto mas gada tanding dehh,positif
jenderal prajurit anak2 alayyy nang bareng negara dgn 280 juta duduk mau pimpin orang cengeng nangisan gak jadi joged tah,negatif
gagal food estate menang surve jadi negeri wakanda,negatif
percaya visi misi kalian pilih02 moga sukses tiap langkah pilih02,positif
aku tak jumawa terus kerja keras beri dukung,positif
banyumas 1912 nyata dukung pasang,positif
bravo jaga terus nkri,positif
puluh tani deres cilongok dukung,positif
anak muda indonesia all in,positif
orang ngelanggar ham kok dukung,negatif
mas catat rekor wakil presiden muda indonesia,positif
pimpin di 2024 pasti,positif
milik jiwa patriot memang kita dukung sama,positif
betul2 sosok paling pas melanjuntukan kerja jokowi,positif
tahu dalam peka isu global jadi juru damai handal bawa solusi konstruktif tiap runding internasional,positif
semua baris rapat terus dukung gemoy mas ganteng,positif
anak muda indonesia wajib dukung 02,positif
masa depan indonesia cerah sama pasang,positif
kali tiga ngedukung moga menang,positif
selalu pikir rakyat,positif
dukung makin massif,positif
indonesia maju sama pa mas,positif
semua dukung mas semua golong keren banget,positif
dulu sekarang tetap,positif
terus juang baik indonesia pilih02 moga hasil,positif
moga menang,positif
justru dukung gabung kaaknya akan jadi mesin dorong kuat untuk menang satu putar,positif
program sehat rakyat,positif
dukung penuh pilih02 moga sukses jalan pilih02,positif
percaya pilih02 akan bawa indonesia tuju masa depan lebih baik pilih02,positif
biarin aja nyinyirin aku 100 persen dukung,positif
depan indonesia milik masa depan cerah pilih02 sukses,positif
asik menang satu putar,positif
dukung penuh pilih02 kita bersamasama capai visi besar pilih02,positif
dukung pimpin bangsa pilih02 moga indonesia makin kembang pilih02,positif
langit jadi saksi jadi presiden ri 2024 2029,positif
lihat peduli hidup seharihari rakyat bukti ia pimpin tidak atas kertas juga di tengahtengah masayaarakat,positif
moga menang 1 putar,positif
tetep,positif
moga 14 februari menang,positif
pilih subianto,positif
jago memang mantap,positif
siapa ikhlas beri kuasa orang culik antek cendana siapa,negatif
jangan lupa tanggal 14 februari pilih 02,positif
percaya and pilih02 akan bawa indonesia tuju masa depan lebih baik pilih02,positif
wkwkk malu otak kamu justru sepuh kadrun radikal rekam jejak jelas gak punya rekam jejak dukung kadrun,negatif
kita doa selalu beri sehat bisa pimpin negeri,positif
orang bijak dukung,positif
mantabbb kita sama menangin,positif
program program sangat penting,positif
dukung jadi makin mantap lihat beliau hanya milik rencana jangka pendek juga strategi jangka panjang maju negara,positif
so pimpin,positif
ri 1,positif
deret purnawirawan tnipolri dukung,positif
dukung subianto jadi makin mantap lihat track record beliau kaya alam beri yakin mampu pimpin bijak,positif
matta terima aspirasi nelayan siap menang satu putar,positif
penting pimpin nya benar benar bangsa indonesia nasionalis bukan agamais hrus dukung penuh jadi pimpin 2024 presiden ri,positif
rasa sebab salah debat capres,negatif
satu putar ndasmu sampah,negatif
koalisi dg siapa sah2 ga itu perkosa konstitusi lolos sang anak lawan,negatif
dukung penuh and pilih02 moga sukses semua usaha pilih02,positif
ngk apa2 1 wanita 51 rakyat indonesia menang amp februari 2024,positif
2014 2019 bahkan 2009 2005 selalu pilih skrg ngerti knp alloh tdk jadi presiden ri pun skrg mantap gakan pilih 02 awal krn hasil curang mk nyata sifat asli cerita culik bukan hoax makin yakin pilih 02,negatif
02 mr esemka 3 periode 03 pettuggaass parte 3 periode sutradara sama alur sama tindas rakyat naik pajak pangan mahal hukum tebang pilih rusak tatanan negara semua uu untung oligarki aseng,negatif
salam solidaritas pimpin negara pilih02,positif
harap generasi masa depan pilih02 kita dukung pilih02,positif
tetap jokowi baik presiden amp wakil presiden,positif
bersamasama bangun masa depan indonesia lebih baik pilih02,positif
karna segi fisik tdk mungkin jadwal padat pelosok daerah daerah seluruh indonesia lawat keluar negeri msh terlalu muda blm alam cukup untuk ganti beliau mangkat,positif
sukses selalu,positif
besar hrpan depan ketemu mas 02 menang,positif
semangat mantab nih balihony,positif
pilih rukun damai sejahtera kerap menang survei alas nilai menang pilpres 2024 satu putar,positif
moga kamu punya anak turun bpk mas karna dua idola kamu,positif
rawan bocahe komitmen dukung halo semarang,positif
airlangga pede raup 65 suara ntt,positif
hebat a0madhinka0 aniesbaswedana0 cakiminowa0 a0 tweet a0 bersih kuatkankpk sikatkorupsi hebat a0 mohmd,positif
wah balik sama keluarga aku dulu malah puja jokowi sekarang sadar jokowi gak baik cuma aku sama ibu kakakkakak awal gak suka malah mau nyoblos 02 karna kata saking suka sama jokowi kalau ba malah fix golput,positif
rakyat suruh main game makan siang gratis entah mau bawa nih negara,positif
inshaallah jadi presiden,positif
wah dablek rekonsiliasi jokowi kunci kalo bukan misal jadi elektabiltas tinggi gitu loh cara mikirnya,positif
bkn nya udah curang awal,negatif
baca postingan gin inisaya makin mantap milih atahu klu satu ituga lah bulattitik,positif
diri teguh sama pilih02 semangat,positif
dukung rasa visi misi kurang kait butuh nyata rakyat,negatif
bagi sempat khusus masa jelang kampanye pernah gagas disampikan maupun hadaoan umum lumprah tiap orang milik gagas dijelskan dulu paten matang,positif
dukung lihat ada ketidakjelasan strategi dalam tanggulang masalah hadap bangsa,negatif
program bodong rakyat nya aja banyak udah sarjana angka miskin tinggi,negatif
dukung rasa perlu ada alternatif pimpin pandang solusi lebih inovatif,positif
beri dukung ingin lihat ubah lebih cepat nyata bangun negara,negatif
panik sampe keroyokan lawan 02 gmn gak mo panik liat rakyat solid dukung pilih kampanye rakyat teriak,positif
moga baik tahan hingga hari coblos yakin masayaarakat untuk beri pilih kpada,positif
coba tonton video anies muji luar biasa coba tonton makanyasaya makin mantap milih atahu klu satu ituga lah bulattitik,positif
skip dlu dah sama nama nya,negatif
tetap semangat sama juang rakyat,positif
,positif
moga sukses semua upaya kalian pilih02,positif
persis cawapres subianto cinta kucing,positif
boss,positif
dukung misi mulia pilih02,positif
emang keren sih,positif
yakin and bawa ubah positif maju bangsa pilih02,positif
gemoy and samsul makin hati,positif
doa sukses tiap langkah pilih02,positif
bocah ml,negatif
ira cuma joget gemoy hatters otak kosong sama ondel2 joget gemoymereka lupa sampai visi misi sesuai daya tangkap masayaarakat temu rakyat banyak lebih sering joget gemoy,positif
sumut menang,positif
listen up hadir 02 bukan bayar karena misi lanjut program jokowi pimpin memang pas tepat indonesia maju lanjut tambah rasa kurang jadi jangan kambinghitamkan presiden,positif
ada salah maen game klo main game rasa goda saat rakyat butuh solusi atas masalah hidup begitu pelik ini tanda matang mental pimpin diri,negatif
rawan pindah usai saksi debat capres gelar minggu 71 rawan sahabat pranowo sgp pindah lantar tdk harga ada yess semua pada akhir,positif
airlangga yakin suara ntt 65 persen milu 2024,positif
airlangga hartarto milu 2024 ada angka 2 4 partai golkar,positif
darurat hasto padaip ungkap pj kepala daerah jatengjatim tidak pihak copot lebih banyak detail,negatif
nah kan kelompok rawan anies kom alih dukung pasang alih dukung dgn bagai alas masing magnet terlalu kuat sih ga bakal kuat tahan pesona,positif
netizen khofifah resmi dukung warga nu malah jadi tahu alas sandera kasus,positif
cinta rakyat baliho jamur jatim ar bukti dukung rakyat makin kuat radar gresik radar gresik,positif
sama pimpin indonesia tuju masa depan lebih baik,positif
komitmen terus naik dapat negara tingkat tax ratio saat sama efisiensi anggar terus laku pasti subsidi tepat sasar,positif
budiman sudjatmiko sekarang jadi salah satu team sukses loh bro,positif
kirteria pimpin pilih moga tonton,positif
niat awal jaga rekonsiliasi jokowi mayoritas masayaarakat suka maka cari sosok tepat wakil jokowi pernah coba jodoh padaip rasa partsi menang ga mau jadi wakil akhir pilih baik di,positif
siap dukung 2024,positif
kl lengser kan jadi presiden,positif
arab saudi skrg halal semua hibur kok wan angin mau e istilah haram d negara majemuk pilih semua nikmat bangun negri bukan narasi nanti hy bentuk angin lalu,positif
depan indonesia milik masa depan cerah pilih02 yakin kalian pilih02,positif
selalu hati rakyat semangat dukung,positif
peristiwa pilgub dki 2017 ulang bahkan kali bs lbh dasayaat menang 1 putar,positif
kawal yuk,positif
tentu semua tahu potensial menang jadi presiden ri adalah mas,positif
pimpin baik deh,positif
tak dinasti politik mas tentu memang layak jadi cawapres damping,positif
ga mungkin dong kan sesuai atur,positif
maju terus pantang mundur dukung paling siap pimpin dunia,positif
ayo dukung yu,positif
parpol semua dukung mas ekstabilitas terus tingkat,positif
apa jadi tetap dukung baik negara,positif
cari untung besar laku korupsi jamaah food estate amp alutsista newcastle main mlbb bareng de bruyne ederson sania yaman monster,negatif
alhamdulillah progam mantap terimakasih,positif
jgn heran dong emang debat kemarin akhir tahu mana capres milik karakter baik bagi tetap maju,positif
semua tahu pimpin cocok negeri mas mantap selalu,positif
dukung,positif
percaya visi misi kalian pilih02 terus juang,positif
tandat tanda kalah kubu belah konsultan politik suda ngomong juang dua putar yagaspool satu putar,positif
pimpin cerdas mas tiada lawan mantap selalu,positif
indonesia butuh pimpin dedikasi pilih02,positif
tetap dukung,positif
bersamasama bangun masa depan lebih baik generasi datang pilih02,positif
moga jalan pimpin penuh berkah pilih02,positif
percaya mampu maju negara pilih02,positif
ayo semangat jateng utama boyolali,positif
terus juang indonesia lebih baik pilih02 dukung,positif
moga sukses misi mulia pilih02 indonesia butuh kalian pilih02,positif
paling 2024 udah stroke kalo liat anies menang,negatif
all in,positif
percaya ubah positif akan bawa pilih02,positif
waktu anggap jd wakil nyata mengejuntukan virus membaduntukan gak boneka mau gabung anies bentur pks yaudah politik pasang muka tembok gak soal,negatif
ente ngomong asal bunyi aja jangan bawa2 warga solo krn warga solo beda mana benar amp mana salah dulu sempat blunder dgn naik pajak pbb ga kira2 kalah di pilpres 2024,negatif
pasang paling ganteng pangeran raja,positif
prestasi ga ada bisa kalah,positif
tak apa pasang paling sempurna muka bumi,positif
gue jadi temu benang merah orang2 hebat mepet nyata kunci jokowi sbg presiden tahu lah permasalahan2 apa jadi indo terus hal sebut arahin ke sbg kawan mana di 2024 udah,positif
sangat cinta nahdhatul ulama,positif
presiden cerdas,positif
gak deh bukti sampe ini masih tetap,positif
wa kalau nurani sih wae,positif
hahahabisa mandek hidup kalau percaya merk peribahan mending aja satu putar,positif
and pucuk pimpin indonesia lebih maju sejahtera pilih02,positif
salah deklarasi dukung,positif
tkn ungkap duga curang,negatif
milu 2 putar siapa lawan 02 tenggelam,negatif
tak masalah gw sih harap koalisi anies sudah terlalu banyak atur ubah putra mahkota,positif
pimpin penuh dedikasi komitmen pilih02 dukung,positif
gaspoll,positif
gass ken satu putar,positif
dukung penuh pilih02 moga sukses semua upaya kalian pilih02,positif
emang otak isi yah serius nanya soal udah jela langgar etik aja tetep maju karena ambisi untuk kuasa sungguh benar manusia tak etika,negatif
mantap satu putar,positif
dukung terus alir makin kuat,positif
suka banget liat animasi mas all in mas nn,positif
yes satu putar,positif
wkwkwk udah tenang kalo psi tembus senayan amp menang banyak,positif
wahh keren banget cuma mas kampanye nya kreatif,positif
al in yesssnooo no no no pada p,positif
elektabilitas turun kwalitas leadership nya ada,negatif
akar rumput dukung anies akan tuju koalisi padaip,negatif
salah karena pilih coba wakil bukan mungkin banyak simpati,negatif
jangan lupa 2 3 hulu banteng plis jangan jebak skenario,negatif
semua dukung,positif
emang layak pimpin,positif
pimpin indonesia,positif
cahaya asia,positif
enteng bolakbalik langgar atur kampanye bukan,negatif
bisa,positif
ngak mungkin menang kalo curang,negatif
dukung sepenuh hati pilih02 moga sukses jalan,positif
mau aku ngga sangka jelas dukung guru kencing diri dukung ngompol celana,negatif
percaya and pilih02 adalah pimpin paham butuh rakyat pilih02,positif
yakin visi kalian wujud pilih02,positif
harap indonesia pilih02 kita satu dukung pilih02,positif
simpatisan padaip 2 lurah solo deklarasi dukung,positif
public sdh paham kalau asli paslon 02 paling bawah banding paslon 01 03 sengaja survei selalu buat atas buat giring opini tutup panik bagai cara laku,negatif
ngeri takut main curang kaya 2019,negatif
baca postingan lu gue jadi tertawa ubah jadi joko goblk,negatif
ga orang benci thd tulus,positif
pasang capres cawapres pasang paling peduli nasib tani bisa wujud swasembada pangan indonesia,positif
dukung banyak bgt kayak laut manusia,positif
akan menang nanti,positif
calon pimpin baik masa depan indonesia,positif
gw tetap kukuh dukung dgn segala lucu tgl 13 feb gw hormat 14 feb gw coblos paslon no 1,positif
apa tetap pilih baik,positif
indonesia jangan gak nyoblos,positif
dengar perspektif tkn beri wawas tambah dinamika politik mungkin jadi,positif
ayoo junjung tinggi nilai nasionalisme moral etika negara no money politics no money politics no money politics pilih nomor1,positif
fakta banyak rawan pindah haluan rapat dukung ayah krna baik dhe btw uda bantu warga turun lingkung kampanye 1 putar stop hoax,positif
indonesia butuh pimpin kuat berani wis wayahe 08 dadi presiden ri 8,positif
ttp kuat kokoh tak bendung meski digo banyak isu,positif
mas gaskeun memang satu putar,positif
hadir konsolidasi demokrat sulsel ahy beri instruksi menang ms agusayaudhoyono padaemokrat sama ahy,positif
kecewa tambah lihat ketidakmampuan yakin rakyat denga program tawar,negatif
sangat kecewa lihat beri solusi masalah hadap negara,negatif
kawal menang peabowo,positif
siap menang satu putar nyala,positif
harap calon presiden lebih sekadar wajah baru buat kecewa ketidakmampuan dalam presentasi rencana nyata maju negara,negatif
satu awal pimpin baik kita,positif
gema acara harlah 78 muslimat nu surabaya insayaa alloh menang,positif
kecewa kurang visi tampil debat maupun jawab tanya media,negatif
menang sangat nanti rakyat,positif
anjing gonggong kapi tetap lalu apa kata orang pilih tetap padaip no jokowi yes,positif
kalau aku jadi bu mega ogah dasar khianat ga tahu diri,negatif
1 putar untuk bismillah,positif
milih 1 detik sengsara 5 tahun,negatif
mending dukung no 03 aja lah jelas tegas bijaksana,positif
buang jauh2 pikir soal koalisi menang,positif
kalo aku kecewa sih jujur paslon 02 debat kemaren,negatif
mntap jokowi gas,positif
02 menang jangan khawatir masuk perintah sudah totalitas dukung,positif
menang 02 memang depan mata,positif
gw gak terima kalau kerja sama partai usung dukung radikalisme gw gak terima gama kerja sama anak haram konsitutsi mkmkmkmk,negatif
betul subianto jadi capres paling suka jokowi,positif
menang mau 1 putar 2 putar,positif
terus gerak langsung masayaarakat,positif
padaip tetap tegak lurus menang,positif
suka banget sama gambar ilustrasi nya dulu dukung telah debat cawapres kemaren jadi dukung,positif
tambah mantap nih pilih awal dukung sekarang yakin,positif
bener banget buat semua kecewa berat lihat debat kemaren,negatif
t3rbaik,positif
dasar ga tahu malu bukan mentingin rakyat malah mentingin keluarga inget lurah ada kuasa abadi,negatif
ga untung sama jokowi anak mkmk wowo ga naik2 surpenya dasar ga tahu malu,negatif
awal gw pilih makin kesini makin bikin ragu buat dukung paslon 02,negatif
mulai panik pemirsahhh,negatif
panik 2 putar hehe padaip baik tegak lurus menang,positif
survei stagnan beathor jokowi panik halal segala cara,negatif
justru gak masuk akal bu mega ngedukung bu mega marah sama sby aja tahun sampe sekrang blum akrab,negatif
percaya lebih banyak rakyat waras peduli negri negri inidan peracaya kalah 14022024,negatif
lihat debat kemaren jadi nyesel dukung,negatif
moga keluarga sri u buwono keraton surakarta meru dahulu keraton yogyakarta pilih jalan benar dukung pasang tdk spt pilih keluarga hamengku buwono keraton yogyakarta,positif
buat semua kecewa beratlebih baik pilih aja,positif
tetap baik,positif
etika mulu bahas bosen gw tai,negatif
takut kalah ini muncul 1 gibaran bikin goncang semua nya makin liat menang,positif
paslon potensi menang pilpres 2024 media asing,positif
pokok kecewa berat sama nyesel dlu gw pernah dukung paslon 02,negatif
percuma ngeteetnya ada arti kalibiar mau keluh kesah setinggi langit percuma sudah di butuh suara ada dia pikir bagaimana cara kalahagar demokrasi negara baik lagi percaya,negatif
omong kosong paslon no 2 makin kesini makin kesana maklum anak haram reformasi anak haram konstitusi simpul paslon no 2 haram pilih,negatif
door to door sapa rakyat pantura rawan rumi menang,positif
pilih capres pihak anak muda rawan praka deklarasi dukung,positif
tkn imbau masayaarakat guna hak suara 14 februari 2024,positif
dulu gw pilih makin kesini makin liat sifat buruk nya saat debat kemaren beri contoh politik jijik,negatif
gak masalah justru lebih semangat yuk jadi sekali putar 14feb24 datang tps coblos no2,positif
orang dongok pilih,negatif
saranin jangan sepenuh hati dukung takut nya bikin kecewa kya,negatif
mas satu putar aja udahhalal,positif
keren banget nih kampanye damai bareng02 mas tunjuk matang fokus visimisi manfaat rakyat,positif
yakin pilih gua kampanye damai bareng02,positif
ketua tkn ros roeslani ucap terima kasih atas dukung usaha bela bangsa deklarasi dukung pasang,positif
gak lagi deh buat pilih udah muak aku sama blunder gimmick paslon 02 banyak citra sekarang aku alih pilih,negatif
tanah datar petjahh petjaah all in,positif
pasang makin solid deklarasi dukung dewan pimpin pusat rawan martabat dekade08,positif
negara dalam ada sekarang tingkat ekonomi bla bla bla kau dengar bicara apa ada kata,positif
aku tak bicara mm depan publik lantas sindir itu ngalor ngidul,positif
sempat aku diri sering tegur eliteelite ibu kota kasar bicara,negatif
saudarasaudara hampir semua survei kata sudah satu putar lengah kita tidak boleh santai ucap,positif
lebih jauh klaim dasar hasil survei pihak menang satu putar pilpres 2024 kendati dia tegas tak lengah,positif
kata bocah cilik ora ngerti opoopo ingus sorry ye nyata tiap kali beliau muncul debat eh naik terus ucap,positif
singgung kerap kali anggap orang bocah tidak erti apaapa,negatif
awal sebut tokohtokoh koalisi indonesia maju meru baik,positif
rakabuming raka bocah ingus sebut justru buat elektabilitas kian tingkat debat,negatif
kata bocah ingus nyata tiap debat naik terus,positif
temu capres subianto uskup agung jakarta ignatius kardinal suharyo kwi jalan cut meutia 10 jakarta pusat langsung akrab dekade08,positif
salam 4 jari no 4 golkar salam,positif
unggul hampir tiap survei rawan yakin pilpres cuma 1 putar,positif
gebyar gemoy sepi dukung yakin 1 putar heheheehhehehebat nih bakal satu putar,negatif
pilpres seperti cuma 1 putar menang yakin tum rpgm maulid isbar indonesia berita,positif
subianto beri dukung materiil wilfrida atambua ntt dekade08,positif
komitmen melanjuntukan sempurna program sejahtera mulai era presiden joko widodo,positif
keren banget bakal wujudin dana abadi pesantren dekade08,positif
capres nomor 2 komitmen beri contoh politik cara santun damai dekade08,positif
kalau kalah lebih banyak nang dan aku tertawa terbahakbahak,negatif
saudarasaudara sekali sering tegur eliteelite jakarta kok ngomongnya kasarkasar aku mantan serdadu ngomongnya kayak gitu kata,positif
padahal kata performa debat buat elektabilitas paslon terus tingkat,positif
anak muda mas rakabuming raka ucap hadap dukung,positif
rakabuming raka bocah ingus sebut justru buat elektabilitas kian tingkat debat,positif
moga sukses jaga suasana kampanye damai fokus visi misi langkah positif kampanye damai bareng02,positif
subianto terima dukung massa subang deklarasi langsung,positif
kemudi bajaj asal jakarta utara nama muhamad suhada kata diri dukung,positif
oikn bantah klaim boy thohir investor ikn dukung sindonews ekbis,positif
harap mudahmudahan menang beri adil orang bawah kata ajun terang tulis minggu 2812024,positif
paslon nomor urut 2 mampu hadir adil sejahtera masayaarakat indonesia,positif
orang kemudi bajaj nama ajun aku dukung yakin,positif
datang untuk sampai dukung calon presiden calon wakil presiden nomor urut 2 subianto rakabuming raka pilpres 2024,positif
deklarasi dukung rombong kemudi bajaj datang diam,positif
indonesia siap dukung menang pilpres 2024 satu baris kampanye damai bareng02,positif
dewan pimpin pusat rawan martabat resmi deklarasi dukung pasang dekade08,positif
kau lihat tokohtokoh ada koalisi airlangga menko ekonomi berapa kali jadi menteri,positif
boong nya kelewatannnnnnn knapa mesti lari yordania boongnya lewat mudah2an banyak jadi pinter bajernya 02 banyak asal omon2,negatif
bener banget nih bener buat kecewa sama pasang padahal dulu sangat dukung telah lihat debat kemarin lebih pilih dukung pasang gama,negatif
aja dulu,negatif
md shock aja apa jadi dlm debat tdk siap mental kalah aja efek itu bangun isu opini ngelantur dech,positif
sangat sangat tuju bang ade salam satu putar untuk p,positif
semangat menang 1 putar,positif
yakin pilih 02,negatif
gigih apa juang menang tetap,positif
pribadi harap mas menang 1 putar,positif
bang akuin aja napa lu sbnrnya dukung nya doang kan segala curang nepotisme nya buat lu gak sreg kan moral compass lu lurus gua liat lu gk suka ngeliat curang,negatif
sekarang ga percaya dengan survey di bayar,positif
tetap teguh pilih,positif
semangat terus,positif
silah menang jelas posisi ada pihak anies baswedan,negatif
swing voters akan pilih,positif
mau elektabilitas 02 90 persen gpp gw tetap setia sama,negatif
udah tebak alur culas 02 kalah debat gt bagi2 bansos gt byr buzzer nang gt bayar lembaga sure pay,negatif
apa jadi naik hasil sure pay jalan ninja kroco kroco mending pilih 01 kalau ga 03,negatif
torang gasss nomor 2,positif
gw aja denger pidato cuma 10 menit doang ada orang sadar malah milih 02 fix kalo gak stunting autism sih,negatif
gbiran menang yess,positif
benar hasil survey real 02 anjlok makanya lurah turun tangan insha allah menang rakyat menang,negatif
kok ya orang2 milih 02 debat aja kalah telak,negatif
survey 02 sumber lembaga survey kebun singkong tumbuh jagung,negatif
bu mega oke ngedukung paslon nomor 2,positif
logika aja orang rekam jejak prestasi ga liat modal jogad joged doank kok hasil besarsementara ajak dialog banyak prestasi malah rendah bukti saat milu gak usah giring2 opini masayaarakat,negatif
kalau nyata hasil suapa putar pertama ga 45 persen lebih arti lembaga surveynya bayar jangan percaya sama lembaga survei,positif
moga rekonsiliasi segera wujud,positif
lembaga2 survey ngomong elektabilitas jauh bawah ditandain,positif
gw siap menangin,positif
ledak 01,positif
udah tinggal joged joged aja gak usah capek capek debat kampanye gak usah capek bikin opini nyebarin hasil survey ting,negatif
kalau jokowi rujuk padaip tanda ialah menang mutlak paslon nomor urut 2,positif
luar biasa satu putar tuju indonesia emas,positif
kelit sekali ente dukung ente sama dari hati seperti ente dendam sama yaa,positif
insha allah apa narasi engkau bikin,negatif
bu mega orang realisitis realistis kalau sama nomor urut 2,positif
tegas penting fasilitas sehat jadi benteng tahan nasional prokal,positif
sama elektabilitasnya nyungsep banget mending,positif
kalau sampe satu putar lu para buzzerrp mau makan mana,negatif
waktu megawati ngedukung,positif
orang goblok gk usah komen mbak,negatif
ga usah malu malu akan buka tangan dukung datang dari teman lama,positif
mungkin sengaja begini rakyat paham jangan pilih kalau pilih percuma jadi presiden pikir sama dengan,negatif
aku yakin dukung padaip makin jaya,positif
koalisi padaip sebab menang 1 putar,positif
mesti bersayaukur padaip telah naik nama bukan malah khianat sekarang nangis2 minta sang ayah elektabilitas asline jeblok sang ayah mulai padakt sama bu mega muka mau taruh mana,negatif
salam 3 jari kalau rasa menang ngapain panik jkw turun rayu2 bu mega,negatif
hilal menang makin lihat,positif
bauntuku survei2 sekarang gak relevan buat jadi tolak ukur milih pimpin pilih ek rekam jejak semua paslon paling kompeten,negatif
makin semangat dukung nomor 2 oke gas,positif
